Id,UserId,StartTimeInSeconds,DurationInSeconds,DistanceInMeters,Steps,AverageSpeedInMetersPerSecond,AveragePaceInMinutesPerKilometer,TotalElevationGainInMeters,AverageHeartRateInBeatsPerMinute
15755,10440,1683668016,135,409.73,356,3.038,5.4860654,3.3173218,140
15756,10440,1683668314,128,403.22,332,3.14,5.3078556,,137
15757,10440,1683668559,132,400.78,350,3.029,5.502366,1.9104004,143
15758,10440,1684877245,3205,8009.7,8560,2.499,6.669334,128.85754,141
15759,10440,1686260109,125,407.65,328,3.273,5.0921683,,134
15760,10440,1686690514,4053,10012.4,10516,2.47,6.747638,127.638245,138
15761,10440,1683458716,4423,11500.32,11786,2.6,6.4102564,71.46655,148
15762,10440,1683667465,129,407.2,338,3.164,5.267594,3.0808105,136
15763,10440,1684447022,274,808.88,726,2.955,5.640158,,150
15764,10440,1684447512,277,833.94,742,3.01,5.537099,,150
15765,10440,1684448408,126,408.49,342,3.237,5.1488004,,143
15766,10440,1684666696,4270,11105.89,11362,2.601,6.4077916,68.0791,144
15767,10440,1685271661,4235,11289.9,11198,2.666,6.2515635,464.19006,149
15768,10440,1686259025,844,2002.83,2244,2.373,7.0234585,21.667236,122
15769,10440,1686261454,132,405.01,348,3.059,5.4484034,2.2702026,141
15770,10440,1686261754,125,400.49,330,3.215,5.184033,,137
15771,10440,1682457939,3250,8016.79,8592,2.467,6.7558436,101.91107,136
15772,10440,1684061065,4453,11509.27,11854,2.585,6.447453,67.68762,140
15773,10440,1684445349,338,1006.86,900,2.979,5.594718,5.0357666,146
15774,10440,1684446486,307,907.14,818,2.959,5.6325336,2.5682983,150
15775,10440,1684448099,135,404.7,362,2.991,5.5722723,5.9572754,142
15776,10440,1685653718,3221,8068.9,8534,2.505,6.6533594,87.78748,139
15777,10440,1685876378,3855,10005.12,10276,2.595,6.4226074,42.59882,143
15778,10440,1686085613,3098,8014.82,8242,2.587,6.442469,87.26574,134
15779,10440,1686260875,131,402.18,346,3.065,5.437738,,141
15780,10440,1686261193,125,403.59,332,3.219,5.1775913,,137
15781,10440,1682248640,3733,10009.35,9890,2.682,6.214268,137.70148,154
15782,10440,1683669972,333,800.48,882,2.404,6.9328895,,143
15783,10440,1684270741,3246,8010.15,8618,2.468,6.7531066,91.99048,138
15784,10440,1684443818,851,2036.05,2242,2.393,6.9647584,20.993225,123
15785,10440,1684444818,343,1014.55,914,2.955,5.640158,5.649658,142
15786,10440,1684445931,315,910.01,836,2.893,5.7610326,5.502136,145
15787,10440,1686260623,124,403.03,322,3.253,5.1234756,,136
15788,10440,1686262002,125,415.02,350,3.32,5.0200806,2.1455688,143
15789,10440,1686262281,120,403.98,336,3.379,4.932426,,142
15790,10440,1686262539,129,411.62,358,3.192,5.221387,2.039978,143
15791,10440,1683235845,3350,8008.7,8740,2.39,6.9735003,89.27899,139
15792,10440,1683668898,128,406.07,338,3.171,5.255965,,141
15793,10440,1683669145,134,408.23,354,3.048,5.4680667,2.9209595,145
15794,10440,1683669463,129,403.35,338,3.129,5.3265157,,140
15795,10440,1683669768,132,401.08,350,3.043,5.4770513,1.793335,143
15796,10440,1686260363,131,406.02,344,3.102,5.3728776,,137
15797,10460,1682264785,170,810.8,520,4.757,3.5036087,160,140
15798,10460,1682386101,3083,10018.34,8832,3.249,5.1297836,532,153
15799,10460,1682464301,449,1011.15,1086,2.253,7.3975444,29,137
15800,10460,1682468672,401,1809.71,1192,4.518,3.688948,267,145
15801,10460,1683155563,513,1513.86,1452,2.953,5.6439776,56,136
15802,10460,1683889984,4016,4779.03,5084,1.19,14.005602,196,84
15803,10460,1683923687,3003,3388.42,4918,1.128,14.7754135,198,99
15804,10460,1683932439,878,2531.41,2444,2.885,5.7770076,64,131
15805,10460,1683935659,743,2271.56,2142,3.059,5.4484034,117,136
15806,10460,1686178188,908,3073.7,2622,3.385,4.923683,30,149
15807,10460,1682261142,348,1501.84,1048,4.32,3.8580244,3,146
15808,10460,1683072904,1047,4020.07,3164,3.841,4.3391476,268,156
15809,10460,1683074264,476,2014.77,1422,4.229,3.941042,283,152
15810,10460,1683111655,2075,2377.03,3608,1.146,14.543339,141,90
15811,10460,1683156182,3688,11034.42,10398,2.992,5.57041,319,144
15812,10460,1683198165,2911,2718.42,3958,0.934,17.844397,274,87
15813,10460,1683232854,3179,3003.47,4572,0.945,17.636684,346,92
15814,10460,1683250434,1802,4471.97,5038,2.482,6.7150145,124,157
15815,10460,1683403783,2365,3306.13,4176,1.398,11.921793,278,106
15816,10460,1684496130,1477,4556.53,3950,3.086,5.4007344,104,143
15817,10460,1683025026,1966,3102.72,3936,1.578,10.5618925,124,105
15818,10460,1683060019,3222,2574.15,4146,0.799,20.859407,320,98
15819,10460,1683069410,698,1389.92,1578,1.993,8.362602,8,129
15820,10460,1683371564,1945,3009.54,3908,1.547,10.77354,130,99
15821,10460,1683765163,2687,9015.35,7880,3.356,4.96623,117,151
15822,10460,1683836573,2524,3523.72,4376,1.396,11.938872,528,109
15823,10460,1683848707,2680,6452.3,5918,2.407,6.924248,295,130
15824,10460,1684287265,1612,6018.89,4866,3.733,4.4646845,148,146
15825,10460,1684369582,3751,10623.31,8550,2.832,5.8851223,277,150
15827,10460,1682469537,329,1522.59,966,4.63,3.599712,185,136
15828,10460,1682596241,5654,15724.19,15696,2.781,5.993048,337,143
15829,10460,1682800398,2240,3490.25,4256,1.558,10.697475,55,100
15830,10460,1683543815,2595,3006.73,4458,1.159,14.380212,161,93
15831,10460,1683577830,4459,3798.85,5820,0.852,19.561815,425,101
15832,10460,1683682110,1097,2261.69,2286,2.061,8.086689,13,125
15834,10460,1683976226,2089,3163.15,4098,1.514,11.008366,137,97
15835,10460,1684065601,1222,5008.57,3702,4.097,4.068017,21,147
15836,10460,1686179683,709,2499.05,2076,3.526,4.7267914,85,162
15837,10460,1682555576,9043,22683,23908,2.508,6.645402,561,137
15838,10460,1683500616,5290,16019.86,15108,3.028,5.504183,564,146
15839,10460,1683683829,5,2.1,0,0.388,42.955326,0,111
15840,10460,1683683855,321,591.24,744,1.841,9.053051,133,141
15841,10460,1683684709,5021,14327.32,13166,2.853,5.841804,663,149
15842,10460,1683764726,355,1062.67,1014,2.994,5.566689,55,131
15843,10460,1684887306,3821,12172.43,9866,3.186,5.23122,571,139
15844,10460,1685015328,2202,6010.02,6184,2.729,6.107243,226,149
15845,10460,1685272081,6262,20014.34,17858,3.196,5.214852,202,155
15846,10460,1685878966,1505,4857.78,4288,3.228,5.1631556,117,143
15847,10460,1683684265,352,206.66,226,0.587,28.39296,71,111
15848,10460,1684886002,1262,2208.15,2588,1.75,9.523809,85,125
15849,10510,1685098825,269,1022.81,,3.796,4.3905864,8.358459,189
15850,10510,1685099228,311,1051.62,,3.387,4.9207754,14.124634,146
15852,10510,1685100374,27,190.97,,7.144,2.33296,,132
15853,10510,1685100533,26,142.4,,5.515,3.022061,,100
15855,10510,1685704675,838,2272.07,,2.71,6.1500616,75.855774,184
15856,10510,1686045790,2524,6174.48,,2.446,6.8138456,70.91138,157
15858,10510,1686396936,819,2346,,2.863,5.821399,73.03937,178
15860,10510,1685097832,842,2207.04,,2.621,6.358896,149.349,176
15861,10510,1685183346,929,3017.15,,3.247,5.132943,44.24213,174
15862,10510,1685184324,332,1023.99,,3.084,5.404237,34.36914,186
15865,10510,1686221454,65,234.34,,3.596,4.6347795,,124
15866,10510,1686393295,1047,3174.8,,3.033,5.495109,35.402832,162
15868,10510,1686741728,1250,3149.79,,2.521,6.611133,134.4588,168
15870,10510,1685888235,5171,6426.31,,1.243,13.40842,1176.2797,151
15871,10510,1685897446,633,2009.75,,3.175,5.249344,9.045349,173
15872,10510,1686219458,1410,4220.67,,2.994,5.566689,45.17841,168
15873,10510,1686221611,60,214.92,,3.565,4.6750817,,139
15874,10510,1686221763,69,198.55,,2.898,5.7510924,,143
15876,10510,1686737924,2179,6750.54,,3.098,5.3798146,102.447815,167
15878,10510,1686823946,327,1007.52,,3.078,5.414771,13.301758,143
15879,10510,1684320801,106,371.43,,3.504,4.756469,,130
15880,10510,1684924547,75,256.49,,3.431,4.8576703,15.526794,153
15881,10510,1685614483,1408,4346,,3.088,5.397237,50.069767,181
15883,10510,1686050148,1463,2856.96,,1.952,8.538251,137.67212,159
15884,10510,1686132382,3318,10032.03,,3.023,5.5132866,126.44086,171
15885,10510,1686222725,60,223.72,,3.751,4.4432597,,135
15886,10510,1686491912,4159,8206.09,,1.973,8.447372,489.30814,163
15887,10510,1686698207,1637,5049.64,,3.084,5.404237,62.54913,172
15889,10510,1684319794,103,410.57,,3.988,4.1792045,11.166321,146
15890,10510,1684320034,98,420.47,,4.307,3.8696694,,149
15891,10510,1684320237,105,406.47,,3.887,4.287797,9.42981,124
15892,10510,1684320508,99,404.11,,4.078,4.0869703,,121
15893,10510,1684923894,79,238.38,,3.012,5.5334215,15.5963745,163
15894,10510,1684924265,77,402.08,,5.214,3.1965222,7.033142,147
15895,10510,1685273425,3,0,,0,,,116
15897,10510,1686222262,87,200,,2.2955787,7.260333,,143
15898,10510,1686222476,80,200.15,,2.495,6.680027,,145
15899,10510,1684318821,843,2228.82,,2.645,6.301197,34.557983,157
15901,10510,1684922600,1087,2951.6,,2.715,6.138736,93.99481,176
15906,10510,1686222107,79,217.69,,2.755,6.0496063,,143
15907,10510,1686824300,1439,4115.43,,2.86,5.827506,194.07654,185
15908,10510,1686826605,939,3035.53,,3.231,5.158362,32.60138,168
15909,10510,1684231964,2947,7634.89,,2.591,6.4325223,204.21967,159
15911,10510,1684925639,61,252.2,,4.117,4.048255,11.712219,173
15912,10510,1684926380,753,2041,,2.711,6.1477933,16.702454,176
15914,10510,1685271603,1565,5071.89,,3.241,5.142446,50.475887,190
15915,10510,1685700567,1565,4700.19,,3.003,5.5500054,76.08661,172
15916,10510,1686221928,78,211.35,,2.706,6.1591525,,137
15917,10510,1686223616,495,1321.14,,2.667,6.2492185,23.562744,160
15919,10510,1684321132,99,420.86,,4.269,3.904115,,124
15920,10510,1684404464,2403,7013.17,,2.918,5.711674,129.39172,167
15921,10510,1684924888,76,261.12,,3.415,4.8804297,17.640808,153
15922,10510,1684925183,73,262.44,,3.59,4.6425257,10.847595,161
15924,10510,1685616870,474,1323.24,,2.79,5.973716,33.4953,176
15925,10510,1686222864,48,213.96,,4.485,3.7160907,,145
15926,10510,1686223010,48,200,,4.204684,3.9638333,,138
15927,260,1686907843,3072,11002.62,10080,3.582,4.652894,54.491943,141
15933,1150,1686910860,2697,7412.1,7048,2.749,6.0628104,35.14,164
15934,1260,1686351659,3471,7963.99,9364,2.295,7.2621636,74,130
15940,4580,1686914322,1632,5028.94,4540,3.082,5.407744,22,158
15942,9160,1686912713,1805,4257.58,4926,2.359,7.0651407,7,151
15945,630,1686913271,3228,10250.58,8592,3.176,5.247691,51,150
15949,760,1686913892,3452,9003.28,9902,2.608,6.390593,28.754883,150
15952,10570,1682369072,4188,15006.82,10572,3.583,4.6515956,24.782837,168
15953,10570,1683399725,1189,4712.96,3112,3.962,4.2066298,,174
15954,10570,1683565539,4141,15003.63,10560,3.623,4.6002393,30.86724,164
15955,10570,1683637540,605,2011.58,1554,3.325,5.0125313,,138
15956,10570,1684170318,1447,1835.62,2952,1.268,13.144059,5.6531677,138
15957,10570,1684184335,3997,10781.91,10118,2.698,6.1774154,,158
15958,10570,1684256642,1569,2047.96,3206,1.305,12.771393,6.792748,141
15959,10570,1684270817,2058,4378.76,5218,2.128,7.8320804,19.813225,151
